p_id,name,price,colour,brand,ratingCount,avg_rating
18933466,Thread & Button Women Green High Slit Kurta with Skirt & With Dupatta,4950,Green,Thread & Button,,
16505390,KALINI Women Blue Ethnic Motifs Printed Floral Anarkali Kurta,1999,Blue,KALINI,502,4.428286853
14208496,Indo Era Women Peach-Coloured & Pink Pure Cotton Printed Kurta with Trousers & Dupatta,5299,Peach,Indo Era,124,4.403225806
11023922,House of Pataudi Women Purple & Gold-Toned Embroidered Kurta Set,5999,Purple,House of Pataudi,256,3.98046875
14046632,Libas Women White Printed Kurti with Sharara & Dupatta,3399,White,Libas,570,4.342105263
14925534,Anouk Women Green & White Ethnic Motifs Printed Cotton Kurta,1099,Green,Anouk,448,4.040178571
19265068,Baisacrafts Women Magenta Floral Printed Pure Cotton Kurta Set With Dupatta,5499,Magenta,Baisacrafts,,
15798294,Indo Era Women Pink Floral Embroidered Kurta with Palazzos & With Dupatta,6199,Pink,Indo Era,108,4.018518519
17193238,KALINI Women Green Floral Printed Gotta Patti Kurta with Sharara,2499,Green,KALINI,268,4.503731343
13523706,Varanga Women Black & White Geometric Printed Bell Sleeves Kurta,1799,Black,Varanga,718,4.181058496
15271046,AHIKA Women Pink & White Bandhani Print Pure Cotton Kurta with Trousers & Dupatta,4247,Pink,AHIKA,77,4.532467532
17487034,Libas Women Blue Floral Printed Pure Cotton Kurta with Trousers & With Dupatta,2999,Blue,Libas,144,4.534722222
18720202,FASHOR Women Purple Ethnic Motifs Printed Mirror Work Kurta,2699,Purple,FASHOR,,
15335772,Vishudh Women Yellow Striped Regular Pure Cotton Kurta with Palazzos,2199,Yellow,Vishudh,141,4.226950355
13771272,Nayo Women Green Printed Kurta with Trousers & Dupatta,3499,Green,Nayo,455,4.21978022
12122358,Indo Era Women Black & Teal Blue Yoke Design Kurta with Palazzos & Dupatta,2799,Black,Indo Era,4858,4.298888431
19041030,SheWill Women Purple Sequinned Kurti with Trousers,8649,Purple,SheWill,5,2.6
2322792,Anouk Women Blue & White Printed Straight Kurta,1799,Blue,Anouk,1700,4.487647059
7334039,Vishudh Women White & Pink Printed A-Line Kurta,1799,White,Vishudh,714,4.128851541
17408530,Varanga Women Navy Blue & Red Ethnic Motifs Printed Kurta,2999,Navy Blue,Varanga,72,4.277777778
14854802,Anouk Women Navy Blue Floral Yoke Design Thread Work Straight Kurta,1299,Navy Blue,Anouk,104,4.182692308
16907860,Libas Women Peach Pink Ethnic Motifs Print Flared Sleeves Laces Pure Cotton Straight Kurta,1399,Peach,Libas,15,4.533333333
18847276,PRENEA Women Blue Floral Embroidered Pleated Kurti with Palazzos & With Dupatta,3999,Blue,PRENEA,34,3.852941176
14036824,Yuris Women Grey & White Pure Cotton Printed Kurta with Palazzos & Dupatta,4299,Grey,Yuris,289,4.214532872
13940072,W Women Green Geometric Printed Kurta,3599,Green,W,57,4.228070175
3084524,HERE&NOW Women Red Printed A-Line Kurta,1799,Red,HERE&NOW,2669,4.100037467
12873874,Anubhutee Women Pink & White Printed Kurta with Trousers & Dupatta,3999,Pink,Anubhutee,1129,4.245349867
18929144,Vishudh Women Purple Ethnic Straight Kurta with Trousers & With Dupatta,2349,Purple,Vishudh,,
16926908,FASHION DEPTH Women Black Ethnic Motifs Embroidered Kurta,1999,Black,FASHION DEPTH,159,4.496855346
17766280,HERE&NOW Women Mustard Yellow Bandhani Print Kurta with Sharara & Dupatta,3999,Mustard,HERE&NOW,5,4.4
13727098,W Women Black Quirky Printed Kurta,1799,Black,W,279,4.028673835
18753060,Globus Women Blue & aquifer Thread Work Kurta,1599,Blue,Globus,,
14023484,Vishudh Women Lime Green Floral Printed Floral Kurta,1249,Lime Green,Vishudh,265,3.977358491
17923636,Biba Women Teal Green Floral Printed Kurta with Salwar,2799,Teal,Biba,28,4.285714286
6613532,Vishudh Women Navy Blue Yoke Design Straight Kurta,1699,Navy Blue,Vishudh,2651,3.936250472
19043664,Charu Women Peach-Coloured Yoke Design Kurta,3199,Peach,Charu,,
13652412,Ishin Women Brown Embroidered Kurti with Sharara & Dupatta,7399,Brown,Ishin,269,3.866171004
17606426,Varanga Women Pink Ethnic Motifs A-line Kurta with Trousers &  Dupatta,6999,Pink,Varanga,17,4
17411096,Nayo Women Blue & Maroon Paisley Printed Cotton Kurta,1299,Blue,Nayo,22,4.272727273
15427372,Anouk Women Blue Kurta with Yarn Dyed Trousers,2099,Blue,Anouk,28,4.535714286
16931152,W Women White Geometric Printed Thread Work Kurta,1899,White,W,7,4.571428571
14925594,Anouk Women Purple & White Ethnic Motifs Printed Cotton Kurta,999,Purple,Anouk,282,3.975177305
16505402,KALINI Women Pink Bandhani Printed Anarkali Kurta,1999,Pink,KALINI,382,4.37434555
15639862,Vishudh Women Yellow & Off White Ethnic Motifs Printed A-Line Kurta with Jacket,3999,Yellow,Vishudh,124,4.266129032
19129450,Meeranshi Women Navy Blue Ethnic Motifs Panelled Kurta with Trousers & With Dupatta,4499,Navy Blue,Meeranshi,3,4.333333333
11530828,anayna Women Beige & Pink Screen Print Straight Kurta,1660,Beige,anayna,1116,4.35125448
18859188,Melange by Lifestyle Women Beige Keyhole Neck Flared Sleeves Kurta,999,Beige,Melange by Lifestyle,,
15026486,W Women Green & Golden Regular Sequinned Kurta with Trousers & With Dupatta,3999,Green,W,766,4.409921671
